txn_id,date,description,credit,debit,account,comment,code
4139,2023-01-04,"Personal Items PayUp*amazo              Bangalore    IN INR 997.00 Rs 997.00",,16.79,expenses:personal,,
4140,2023-01-04,"MYREPUBLIC LIMITED       SINGAPORE    SG",,10.00,,,
4141,2023-01-05,"Foodpanda Singapore      SINGAPORE    SG",,6.24,,,
4142,2023-01-05,"COCOCART                 MUMBAI       IN INR 1,707.00 Rs 1,707.00",,28.68,expenses:dine_out,,
4143,2023-01-05,"CIRCLES.LIFE             SINGAPORE    SG",,29.10,,,
4144,2023-01-08,"TATTWA HOSPITALITY       Mumbai       IN INR 4,552.00 Rs 4,552.00",,76.92,expenses:dine_out,,
4145,2023-01-09,"Payup*uniqlo             SouthDelhi   IN",,69.21,expenses:gift,,
4146,2023-01-09,"Uniqlo         SINGAPORE    SG",34.60,,,,
4147,2023-01-10,"PERK COFFEE              SINGAPORE    SG",,17.90,,,
4148,2023-01-10,"CCY CONVERSION FEE    SGD          69.21",,0.69,expenses:gift,,
4149,2023-01-13,"GOMO MOBILE PLAN         SINGAPORE    SG",,20.19,,,
4150,2023-01-16,"LAZADA SINGAPORE         SINGAPORE    SG",,36.50,,,
4151,2023-01-16,"NETFLIX.COM              SINGAPORE    SG",,21.98,,,
4152,2023-01-18,"TRANSIT 30750625023897   SINGAPORE    SG",,50.00,,,
4153,2023-01-18,"TADA RIDE DD81C6         SINGAPORE    SG",,18.50,,,
4154,2023-01-19,"Foodpanda Singapore      SINGAPORE    SG",,0.84,,,
4155,2023-01-20,"FAST PAYMENT",2851.23,,assets:credit_card_payment,,
4156,2023-01-20,"Grab* A-4FII55QWWI7K     Singapore    SG",,31.80,,,
4157,2023-01-20,"GOJEK                    SINGAPORE    SG",,13.50,,,
4158,2023-01-20,"Black and White          SINGAPORE    SG",,13.70,expenses:dine_out,,
4159,2023-01-20,"CCY CONVERSION FEE    SGD          34.60",0.34,,expenses:apparel,,
4160,2023-01-21,"COMMON MAN JOO CHIAT     SINGAPORE    SG",,203.72,expenses:dine_out,,
4161,2023-01-21,"EZL AUTO TOPUP (CBT)     SINGAPORE    SG",,50.00,,,
4162,2023-01-22,"MYREPUBLIC BROADBAND P   SINGAPORE    SG",,60.56,,,
4163,2023-01-22,"OLD CHANG KEE            SINGAPORE    SG XXXX-XXXX-XXXX-6389",,3.60,,,
4164,2023-01-23,"LAZADA SINGAPORE         SINGAPORE    SG",,6.30,,,
4165,2023-01-24,"GOOGLE*GOOGLE STORAGE    Singapore    SG",,27.99,,,
4166,2023-01-24,"GOOGLE*YOUTUBEPREMIUM    Singapore    SG",,17.98,,,
4167,2023-01-24,"Bakalaki Greek T         SINGAPORE    SG",,65.44,,,
4168,2023-01-24,"PERK COFFEE              SINGAPORE    SG",,17.90,,,
4169,2023-01-24,"2C2P-LAZADA(3D)-EC       SINGAPORE    SG",,73.88,,,
4170,2023-01-24,"DELIVEROO PLUS - SG      SINGAPORE    SG",,12.90,,,
4171,2023-01-25,"Foodpanda Singapore      SINGAPORE    SG",,10.09,,,
4172,2023-01-26,"Lemuel Chocolate         Singapore    SG XXXX-XXXX-XXXX-6389",,36.50,,,
4173,2023-01-26,"Foodpanda Singapore      SINGAPORE    SG",,28.45,,,
4174,2023-01-26,"Foodpanda Singapore      SINGAPORE    SG",,2.49,,,
4175,2023-01-27,"Prudential 67816325      SINGAPORE    SG",,34.19,,,
4176,2023-01-28,"Foodpanda Singapore      SINGAPORE    SG",,39.74,,,
4177,2023-01-29,"NET*SUBWAY@BUANGKOK      SINGAPORE    SG",,7.50,,,
4178,2023-01-30,"FAIRPRICE FINEST-CLEMENTISINGAPORE    SG",,4.52,,,
4179,2023-01-31,"Fitness First Singapore  Singapore    SG",,183.60,,,
4180,2023-01-31,"Fitness First Singapore  Singapore    SG",,185.77,,,
4181,2023-01-31,"OBSIDIAN.MD              OAKVILLE     CA USD 10.00 USD 10.00",,13.61,,,
