"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4367","2023-03-02","India expenses","","800.00","assets:transfers","",""
"4368","2023-03-06","Income tax IBG GIRO","","656.54","expenses:tax","",""
"4369","2023-03-06","GIRO - SALARY Oncall","800.00","",,"",""
"4370","2023-03-09","BONUS INTEREST","77.75","",,"",""
"4371","2023-03-15","UNIT TRUST RV","","200.00",,"",""
"4372","2023-03-15","UNIT TRUST RV","","200.00",,"",""
"4373","2023-03-17","BCIP DR","","1000.00",,"",""
"4374","2023-03-22","FAST PAYMENT","","4031.04","assets:credit_card_payment","",""
"4375","2023-03-22","BILL PAYMENT     INB","","2146.68",,"",""
"4376","2023-03-23","BCIP CR","1.83","",,"",""
"4377","2023-03-28","GIRO - SALARY","28788.00","",,"",""
"4378","2023-03-31","INTEREST CREDIT","2.36","",,"","","76016.11"
