"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4515","2023-04-01","135-17256-1  : I-BANK","","3000.00",,"",""
"4516","2023-04-03","TOP-UP TO PAYLAH! :","","7.00","expenses:dine_out","",""
"4517","2023-04-03","TOP-UP TO PAYLAH! :","","5.80","expenses:dine_out","",""
"4518","2023-04-04","TOP-UP TO PAYLAH! :","","10.90","expenses:dine_out","",""
"4519","2023-04-05","TOP-UP TO PAYLAH! :","","5.80","expenses:dine_out","",""
"4520","2023-04-06","TOP-UP TO PAYLAH! :","","9.30","expenses:dine_out","",""
"4521","2023-04-06","TOP-UP TO PAYLAH! :","","7.00","expenses:dine_out","",""
"4522","2023-04-07","Interest","4.34","",,"",""
"4523","2023-04-10","TOP-UP TO PAYLAH! :","","10.70","expenses:dine_out","",""
"4524","2023-04-11","TOP-UP TO PAYLAH! :","","4.50","expenses:dine_out","",""
"4525","2023-04-12","TOP-UP TO PAYLAH! :","","7.00","expenses:dine_out","",""
"4526","2023-04-13","TOP-UP TO PAYLAH! :","","9.40","expenses:dine_out","",""
"4527","2023-04-13","TOP-UP TO PAYLAH! :","","9.80","expenses:dine_out","",""
"4528","2023-04-14","TOP-UP TO PAYLAH! :","","4.70","expenses:dine_out","",""
"4529","2023-04-17","TOP-UP TO PAYLAH! :","","5.80","expenses:dine_out","",""
"4530","2023-04-17","TOP-UP TO PAYLAH! :","","8.00","expenses:dine_out","",""
"4531","2023-04-18","TOP-UP TO PAYLAH! :","","6.00","expenses:dine_out","",""
"4532","2023-04-18","TOP-UP TO PAYLAH! :","","1.80","expenses:dine_out","",""
"4533","2023-04-19","TOP-UP TO PAYLAH! :","","14.00","expenses:dine_out","",""
"4534","2023-04-19","TOP-UP TO PAYLAH! :","","2.50","expenses:dine_out","",""
"4535","2023-04-19","TOP-UP TO PAYLAH! :","","2.50",,"expenses:dine_out",""
"4536","2023-04-21","TOP-UP TO PAYLAH! :","","4.50","expenses:dine_out","",""
"4537","2023-04-24","TOP-UP TO PAYLAH! :","","2.80","expenses:dine_out","",""
"4538","2023-04-26","TOP-UP TO PAYLAH! :","","7.00","expenses:dine_out","",""
"4539","2023-04-27","SUGARROLL PTE LTD","9988.00","",,"",""
"4540","2023-04-27","TOP-UP TO PAYLAH! :","","15.00","expenses:dine_out","",""
"4541","2023-04-27","TOP-UP TO PAYLAH! :","","6.00","expenses:dine_out","",""
"4542","2023-04-27","Incoming PayNow Ref 9102120","11.00","","expenses:dine_out","",""
"4543","2023-04-27","TOP-UP TO PAYLAH! :","","4.50","expenses:dine_out","",""
"4544","2023-04-30","Interest","3.64","",,"","","95481.57"
