"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4656","2023-04-02","MCDONALD'S JEWEL (JEW)  SINGAPORE","","13.85",,"",""
"4657","2023-04-03","BURNT CONES PTE LTD-111 SINGAPORE","","7.00",,"",""
"4658","2023-04-04","COLD STORAGE - ONE NORT SINGAPORE","","3.75",,"",""
"4659","2023-04-05","JAGGIS.COM.SG           SINGAPORE","","42.20",,"",""
"4660","2023-04-05","ALCHEMIST @ 71 ROBINSON SINGAPORE","","4.50",,"",""
"4661","2023-04-06","AMZNPRIMESG MEMBERSHIP  SINGAPORE","","2.99",,"",""
"4662","2023-04-07","OLD CHANG KEE SINGAPOR SINGAPORE","","1.90",,"",""
"4663","2023-04-07","FINEST @ CLEMENTI MALL  SINGAPORE","","19.32",,"",""
"4664","2023-04-07","DELIVEROO               SINGAPORE","","33.80",,"",""
"4665","2023-04-07","CUISINE OF CM PTE LTD-1 SINGAPORE","","8.10",,"",""
"4666","2023-04-08","OLLA COFFEE (CLEMENTI)  SINGAPORE","","34.65",,"",""
"4667","2023-04-08","KINOKUNIYA BOOKSTORES O SINGAPORE","","118.33","expenses:books","",""
"4668","2023-04-08","DELIVEROO               SINGAPORE","","23.90",,"",""
"4669","2023-04-08","AMAZON SG - Vacuum cleaner","","130.00","expenses:household","",""
"4670","2023-04-08","AMAZON SG - Label maker","","45.90","expenses:household","",""
"4671","2023-04-08","AMAZON SG - Book - She Comes First","","27.38","expenses:books","",""
"4672","2023-04-08","AMAZON SG               SINGAPORE","","27.34","expenses:personal","",""
"4673","2023-04-08","AMAZON SG - Book - Dictionary Obscure Sorrows","","24.90","expenses:books","",""
"4674","2023-04-08","AMAZON SG - Book - Sensitive Power of a Thoughtful Mind","","24.60","expenses:books","",""
"4675","2023-04-08","AMAZON SG               SINGAPORE","","22.13","expenses:personal","",""
"4676","2023-04-09","QASHIER PTE. LTD.       SINGAPORE","","5.50","expenses:dine_out","",""
"4677","2023-04-09","CLIMB CENTRAL FUNAN 000 SINGAPORE","","128.52",,"",""
"4678","2023-04-09","BAKER'S BENCH BAKERY    SINGAPORE","","4.50",,"",""
"4679","2023-04-09","AMAZON SG - Book - Psychology of Money","","12.99","expenses:books","",""
"4680","2023-04-10","AVERLON DYNAMICS PTE LT SINGAPORE (Subway franchisee)","","8.50",,"",""
"4681","2023-04-11","VIVAIA                  LONDON","","145.31","expenses:apparel","",""
"4682","2023-04-12","DELIVEROO               SINGAPORE","","35.40",,"",""
"4683","2023-04-13","DELIVEROO               SINGAPORE","","16.60",,"",""
"4684","2023-04-14","DELIVEROO               SINGAPORE","","18.80",,"",""
"4685","2023-04-15","UNIQLO (SINGAPORE) PTE. SINGAPORE","","61.50",,"",""
"4686","2023-04-15","OLLA COFFEE (CLEMENTI)  SINGAPORE","","43.80",,"",""
"4687","2023-04-16","GIGA                    SINGAPORE","","10.10",,"",""
"4688","2023-04-16","DELIVEROO               SINGAPORE","","29.00",,"",""
"4689","2023-04-17","DELIVEROO               SINGAPORE","","23.90",,"",""
"4690","2023-04-17","DELIVEROO               SINGAPORE","","16.45",,"",""
"4691","2023-04-18","FINEST @ CLEMENTI MALL  SINGAPORE","","23.05",,"",""
"4692","2023-04-19","SP DIGITAL PTE. LTD.    SINGAPORE","","73.99",,"",""
"4693","2023-04-19","HanbaobaoPTELTD         SINGAPORE","","17.15",,"",""
"4694","2023-04-20","GIGA                    SINGAPORE","","5.95",,"",""
"4695","2023-04-21","BILL PAYMENT     INB","2756.04","","assets:credit_card_payment","",""
"4696","2023-04-21","MIZNONSINGAPORE* ODDLE  SINGAPORE","","44.28",,"",""
"4697","2023-04-22","OLLA COFFEE (CLEMENTI)  SINGAPORE","","36.65",,"",""
"4698","2023-04-22","CLIMB CENTRAL FUNAN 000 SINGAPORE","","15.12",,"",""
"4699","2023-04-23","FREDO'S                 SINGAPORE","","9.00",,"",""
"4700","2023-04-23","BURNT CONES PTE LTD-111 SINGAPORE","","10.00",,"",""
"4701","2023-04-24","FINEST @ CLEMENTI MALL  SINGAPORE","","17.33",,"",""
"4702","2023-04-26","NETS RETAIL*MOAM PTE LT SINGAPORE","","13.90","expenses:dine_out","",""
"4703","2023-04-28","OLLA COFFEE (CLEMENTI)  SINGAPORE","","32.10",,"",""
"4704","2023-04-29","THE COFFEE BEAN - T4    SINGAPORE","","8.20","expenses:dine_out","",""
"4705","2023-04-29","GIGA                    SINGAPORE","","5.00",,"",""
