"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4117","2023-01-02","India expenses","","775.29","expenses:household:india","",""
"4117","2023-01-02","India expenses","800.00","","assets:transfers","",""
"4118","2023-01-12","TBill","","5000.00","assets:investment:tbill","",""
"4118","2023-01-12","TBill","5000.00","","assets:transfers","",""
"4119","2023-01-18","Earning from Tbill","99.20","",,"","SGR"
"4120","2023-01-19","Grindelwald","","6.85",,"",""
"4121","2023-01-19","Icecream","","4.00","expenses:dine_out","",""
"4122","2023-01-19","Craft b","","7.50","expenses:dine_out","",""
"4123","2023-01-19","Mr Bean","","4.10","expenses:dine_out","",""
"4124","2023-01-31","Interest","0.38","",,"","","9048.49"
