"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4446","2023-03-01","WOK HEY PTE LTD-1115216 SINGAPORE","","9.80",,"",""
"4447","2023-03-01","THE DIGITAL GADGETS - C SINGAPORE","","20.56","expenses:dine_out","",""
"4448","2023-03-01","OLLA COFFEE (CLEMENTI)  SINGAPORE","","38.05",,"",""
"4449","2023-03-01","FINEST @ CLEMENTI MALL  SINGAPORE","","16.62",,"",""
"4450","2023-03-01","CUISINE OF CM PTE LTD-1 SINGAPORE","","8.10",,"",""
"4451","2023-03-02","T1 YA KUN KIOSK         SINGAPORE","","5.60",,"",""
"4452","2023-03-04","ANJAPPAR RESTAURANTS    SINGAPORE","","16.60",,"",""
"4453","2023-03-05","OLLA COFFEE (CLEMENTI)  SINGAPORE","","28.80",,"",""
"4454","2023-03-05","DELIVEROO               SINGAPORE","","50.56",,"",""
"4455","2023-03-05","DELIVEROO               SINGAPORE","","28.10",,"",""
"4456","2023-03-05","Apple pencil adapter APPLE.COM/SG            SINGAPORE","","15.10","expenses:personal","",""
"4457","2023-03-06","DELIVEROO               SINGAPORE","","35.07",,"",""
"4458","2023-03-06","AMZNPRIMESG MEMBERSHIP  SINGAPORE","","2.99",,"",""
"4459","2023-03-07","Pens and stationery POPULAR BOOK CO PTE LTD SINGAPORE","","6.60","expenses:personal","",""
"4460","2023-03-07","OLLA COFFEE (CLEMENTI)  SINGAPORE","","30.80",,"",""
"4461","2023-03-07","GRAB                    SINGAPORE","","10.00",,"",""
"4462","2023-03-08","PS CAFE - PALAIS        SINGAPORE","","116.42","expenses:dine_out","",""
"4463","2023-03-09","FINEST @ CLEMENTI MALL  SINGAPORE","","6.97",,"",""
"4464","2023-03-10","QASHIER PTE. LTD.       SINGAPORE","","11.80","expenses:dine_out","",""
"4465","2023-03-10","MEXICAN FOOD CORP PTE L SINGAPORE","","13.20",,"",""
"4466","2023-03-11","IKEA - RETAIL           SINGAPORE","","39.70",,"",""
"4467","2023-03-11","AWFULLY CHOCOLATE - STA SINGAPORE","","18.80","expenses:dine_out","",""
"4468","2023-03-12","OLLA COFFEE (CLEMENTI)  SINGAPORE","","34.55",,"",""
"4469","2023-03-13","iPad magnetic case AMAZON SG   SINGAPORE","","9.44","expenses:personal","",""
"4470","2023-03-14","GST","","13.20","expenses:credit_card_fee","",""
"4471","2023-03-14","DELIVEROO               SINGAPORE","","31.70",,"",""
"4472","2023-03-14","CARD ANNUAL FEE","","165.00",,"",""
"4473","2023-03-14","FINEST @ CLEMENTI MALL  SINGAPORE","","18.02",,"",""
"4474","2023-03-14","AMMAN VEG TRADING PTE L SINGAPORE","","22.40",,"",""
"4475","2023-03-14","AMAZON SG               SINGAPORE","","146.98","expenses:household","",""
"4476","2023-03-15","OMNIVORE - 79 ROBINSON  SINGAPORE","","13.40",,"",""
"4477","2023-03-15","GIGA                    SINGAPORE","","11.12",,"",""
"4478","2023-03-16","DELIVEROO               SINGAPORE","","42.20",,"",""
"4479","2023-03-17","WATSON'S PERSONAL CARE  SINGAPORE","","22.79",,"",""
"4480","2023-03-17","DELIVEROO               SINGAPORE","","18.10",,"",""
"4481","2023-03-17","DELIVEROO               SINGAPORE","","17.00",,"",""
"4482","2023-03-17","CUISINE OF CM PTE LTD-1 SINGAPORE","","8.10",,"",""
"4483","2023-03-18","STRIP WEST GATE         SINGAPORE","","80.00","expenses:personal","",""
"4484","2023-03-18","OLLA COFFEE (CLEMENTI)  SINGAPORE","","34.65",,"",""
"4485","2023-03-18","LLAO LLAO - IMM         SINGAPORE","","6.00","expenses:dine_out","",""
"4486","2023-03-18","H & M HENNES & MAURITZ  SINGAPORE","","106.16","expenses:apparel","",""
"4487","2023-03-18","BJR-AJISEN@IMM          SINGAPORE","","29.70",,"",""
"4488","2023-03-19","DELIVEROO               SINGAPORE","","24.20",,"",""
"4489","2023-03-20","STO+G LAPAROSCOPY & FER SINGAPORE","","408.20",,"",""
"4490","2023-03-20","SP DIGITAL PTE. LTD.    SINGAPORE","","56.50",,"",""
"4491","2023-03-20","POLAR PUFFS & CAKES PTE SINGAPORE","","4.50",,"",""
"4492","2023-03-21","WATSON'S PERSONAL CARE  SINGAPORE","","60.44",,"",""
"4493","2023-03-21","NETS RETAIL*DADACA ASIA SINGAPORE","","17.80","expenses:dine_out","",""
"4494","2023-03-21","FINEST @ CLEMENTI MALL  SINGAPORE","","20.73",,"",""
"4495","2023-03-21","CUISINE OF CM PTE LTD-1 SINGAPORE","","8.10",,"",""
"4496","2023-03-22","BILL PAYMENT     INB","2146.68","","assets:credit_card_payment","",""
"4497","2023-03-22","OMNIVORE - 79 ROBINSON  SINGAPORE","","11.90",,"",""
"4498","2023-03-23","DELIVEROO               SINGAPORE","","20.73",,"",""
