"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4347","2023-03-01","135-17256-1  : I-BANK","","3000.00",,"",""
"4348","2023-03-10","TOP-UP TO PAYLAH! :","","5.90","expenses:dine_out","",""
"4349","2023-03-10","TOP-UP TO PAYLAH! :","","7.30","expenses:dine_out","",""
"4350","2023-03-13","TOP-UP TO PAYLAH! :","","3.50","expenses:dine_out","",""
"4351","2023-03-15","TOP-UP TO PAYLAH! :","","5.40","expenses:dine_out","",""
"4352","2023-03-17","TOP-UP TO PAYLAH! :","","4.70","expenses:dine_out","",""
"4353","2023-03-22","TOP-UP TO PAYLAH! :","","4.50","expenses:dine_out","",""
"4354","2023-03-22","TOP-UP TO PAYLAH! :","","10.80","expenses:dine_out","",""
"4355","2023-03-23","TOP-UP TO PAYLAH! :","","5.20","expenses:dine_out","",""
"4356","2023-03-24","TOP-UP TO PAYLAH! :","","7.50","expenses:dine_out","",""
"4357","2023-03-25","Loaned money to Sasha","","2500.00","expenses:charity","",""
"4358","2023-03-27","TOP-UP TO PAYLAH! :","","4.00","expenses:dine_out","",""
"4359","2023-03-28","SUGARROLL PTE LTD","7379.30","",,"",""
"4360","2023-03-31","Interest","3.45","",,"","","88646.89"
