"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4125","2023-01-02","India expenses","","800.00","assets:transfers","",""
"4126","2023-01-05","GIRO - SALARY","800.00","",,"",""
"4127","2023-01-06","IBG GIRO","","656.54","expenses:tax","",""
"4128","2023-01-11","BONUS INTEREST","90.07","",,"",""
"4129","2023-01-12","TBill","","5000.00","assets:transfers","",""
"4130","2023-01-16","UNIT TRUST RV","","200.00",,"",""
"4131","2023-01-16","UNIT TRUST RV","","200.00",,"",""
"4132","2023-01-16","BCIP CR","386.82","",,"",""
"4133","2023-01-17","BCIP DR","","1000.00",,"",""
"4134","2023-01-20","FAST PAYMENT","","2851.23","assets:credit_card_payment","",""
"4135","2023-01-20","BILL PAYMENT     INB","","1136.79",,"",""
"4136","2023-01-26","BCIP CR","1.28","",,"",""
"4137","2023-01-26","GIRO - SALARY","9006.00","",,"",""
"4138","2023-01-31","Interest","2.15","",,"","","53138.42"
